"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj";"Dispersion";"FC/FCshrink"
"clong_scaffold_1_003732";1907,87634509867;1,03350718560797;0,265065442999983;6,68158663307578e-06;0,000719662560270871;0,0463944259928312;1,11127064733538
"clong_scaffold_10_001943";14202,9554274745;1,21652400638868;0,314486402158352;7,14801911889519e-06;0,000759354633794961;0,0649453188219723;1,1083960270166
"g5119";482,192341422503;1,67002750930314;0,440545203644937;7,4668106943821e-06;0,000786042311333934;0,122444363780975;1,11683545450089
"clong_scaffold_11_001397";405,469043252351;4,20471187046677;1,16357623130661;8,46931658000099e-06;0,000864204606288259;0,806723214524124;1,13131128275558
"clong_scaffold_11_000876";2019,37135055918;1,31332425834084;0,344162169523016;8,63828259546968e-06;0,000877596701238438;0,0767442744304868;1,10939314538563
"clong_scaffold_2_000927";383,825285146811;1,05788981898305;0,275684612821502;9,17812839577771e-06;0,000920384297964519;0,0478141114934643;1,10914973077815
"clong_scaffold_3_002628";85,9154691192504;2,14122864683047;0,581408232436315;9,73953050808521e-06;0,000965498689941168;0,198577637128799;1,12481310031007
"clong_scaffold_4_002726";893,246715819605;1,35737840220429;0,362586296601417;1,04663420037577e-05;0,00102310691898077;0,084204726606073;1,1175999019923
"clong_scaffold_2_002085";279,394944971361;1,14048112697345;0,301664187191076;1,07324986304399e-05;0,00103052396413269;0,0562984046420708;1,1127886085121
"clong_scaffold_4_002117";19763,1567953716;1,05473229406486;0,277401669691735;1,07636932423917e-05;0,00103052396413269;0,0508707398991275;1,10933909550198
"clong_scaffold_7_002530";925,746477862986;1,85691282127876;0,50557415250974;1,07510493551552e-05;0,00103052396413269;0,161260835739237;1,12531619265244
"clong_scaffold_2_001123";822,985296560695;1,32454823079182;0,359453476588744;1,19250044615973e-05;0,00111419770602033;0,0823071053438359;1,12532571039405
"clong_scaffold_4_002740";428,276208384818;2,70259315719083;0,755400404512464;1,25260468884328e-05;0,00115185170300154;0,350744419653024;1,13360841467882
"g21591";47,1990251188156;3,2873302476128;0,92309754670868;1,32015359251129e-05;0,0012091879263691;0,475337115454219;1,13459822803318
"clong_scaffold_10_001615";464,014880799933;1,51306554744181;0,413839730922641;1,33693463108275e-05;0,00121499157000548;0,107642952387553;1,12367637680225
"clong_scaffold_5_000277";925,969591033119;1,10726770179948;0,297286430726046;1,36178338639179e-05;0,00123275838460719;0,0570201941978391;1,11481609396653
"clong_contig_9341r_pilon_000010";1687,39425552269;1,39841018120071;0,385972072819283;1,61776423849202e-05;0,00143653759574492;0,0950072198252147;1,12439527412396
"clong_scaffold_3_002220";212,349914597657;2,51216256855819;0,715933290794792;1,74386419347208e-05;0,00151384330078835;0,301604034547072;1,13543409904364
"g38498";154,043458857749;1,54270063709792;0,431685603795036;1,80109784553463e-05;0,00155194597690234;0,1101323068401;1,12862538810452
"clong_scaffold_8_002600";1104,40051165634;1,44792034442684;0,401800585207598;1,85062703170563e-05;0,0015755267186819;0,10239352150215;1,11995730770207
"clong_scaffold_8_002604";11183,7378995719;2,23028147491601;0,635974142727586;1,87241077586295e-05;0,00157832017030622;0,252034486044527;1,13500981076657
"g37223";40,9985226007646;2,42123010784692;0,691545354133845;1,88709692676969e-05;0,00158495703975801;0,257783730616419;1,13792954195225
"clong_scaffold_1_000378";167,392400060932;2,20022815384834;0,6287413332945;1,94513825330853e-05;0,00162199431767824;0,2378732906955;1,1355494327058
"clong_scaffold_7_001559";256,050381467377;1,88971146012163;0,53815625649208;1,97452769985654e-05;0,00163021507324854;0,176785909133886;1,13501723642363
"g46032";16264,7863880991;1,80031106041315;0,511260054060131;1,9862580742044e-05;0,00163021507324854;0,164683601319299;1,13306309506242
"clong_scaffold_9_000644";2497,43725704152;1,08688969685289;0,299904039871709;2,01414129529807e-05;0,00163842647675209;0,0585971037567406;1,12196513063288
"clong_scaffold_3_003008";1375,02207957634;1,71579110380199;0,489157021096489;2,12981563868118e-05;0,00171453843715978;0,149989074381819;1,13394991815644
"clong_scaffold_9_000355";3154,62964178199;1,18833615976647;0,331886428164677;2,1922372487317e-05;0,00175265977978498;0,0710791255534932;1,12465565231739
"clong_scaffold_5_000061";93,7567250257106;2,6836888878206;0,790882624988622;2,41738713819402e-05;0,00190645802610454;0,352986276139621;1,14572554961626
"g18904";466,334011279843;1,21148241119065;0,341732516394424;2,47510115807721e-05;0,00193348117800281;0,0729211597689107;1,12735749086335
"clong_scaffold_5_000089";212,932751563643;3,84812839915833;1,15414009512452;2,51886662484672e-05;0,0019468914294704;0,779005022137963;1,14957339131697
"g42423";9388,75647680874;2,01704839209829;0,592482120435122;2,83060047239162e-05;0,00212431999968358;0,217865900981323;1,14153903825966
"clong_scaffold_5_002657";193,633913460141;1,66625255935343;0,486464799921863;2,91988657284675e-05;0,00217728080504101;0,143903462642287;1,14022269326466
"clong_scaffold_8_001753";65817,0919757736;1,71280876899291;0,501934624560821;3,05476865250974e-05;0,002234880273605;0,157896000632268;1,13944858458297
"clong_scaffold_2_001700";1582,70211644368;1,294863305268;0,378654513345243;3,22467740980608e-05;0,00232987950121548;0,0905807352674679;1,14165574540066
